"category","business_ids","stamp_date"
"weekly","[7qgKHElL4ISmeXGtnUk-6Q,oN7zVYLZQWGWdCMSObFaWA,4R6NJhiq_t91E3W72ou7YA,WZMee0YTJXBwgXjhSV9NWw,9u1SFdv5B0jnF_o2W8shDQ,LrkQe6vxHVLM7DnZWM5GvA,dmKHEz51uk8360u3X4CcWQ,6_94EKksekvepqgTQvzwfA,4-ipaAiQPjUy6eSSZVcruw,fFEFB45_CsR4cw9DI1yW8Q,PtUladplscTP38C5benw-g,g5mAOknxJf9JM8_dHjlxjg,bLNbyxYP9WFZ2K-kt7tmTQ,Ej1kJCB3WDzsgLjoqQRfNQ,JjYtyoEYnNw7mpXevHE_Ww,vRR8UF2omrnJCytRm2163w,SIJm66InxhHRTcLPB6OwKA,jHv46Q9mrcKMLECHpjem1g,GPCI92owU34KMiRsRIGsYg,zTp39UK8kbJggw0-34zdng,XcIqzonSqV9UcGEWFydu_A,rWAzMylvCypS3ieJe-aYxA,Ka00H3EHLLiPNpMj1V4Hcw,Feysyzl0uFwbzYB8cRtH8A,0BVHJrRS6Cz4Z66bASb4kw,4VsXtggSzTz7OZTUuJAqVg,SnNT8YA6_RFQZGQkV_psEg,8GBRILrJ3CO0pXWtaf-PNw,8pay7bZMocFp_mEIZNfjbQ,UObah0uXIUdXioB5ZpuqCw,MI0b4GygzprUf79urQJE9g,AJfzsqkfo-Pdx--i0LrYuA,m-QJ5htl3uuB0BnfBNSTYQ,V9THpMJoHCgwuJY1Elj_zw,mv9CWDyMw5jgFmtrJePN3w,yJEHOZjWYdPNLTBFWhupEQ,c7AQEIbCKv3n7xQxOwhYWQ,KY4bn--If0q45L0dpfYZYQ,MB242ilqodf30d0xim1S1A]","2019-11-30"
"monthly","[Ka00H3EHLLiPNpMj1V4Hcw,0BVHJrRS6Cz4Z66bASb4kw,V9THpMJoHCgwuJY1Elj_zw,7qgKHElL4ISmeXGtnUk-6Q,mv9CWDyMw5jgFmtrJePN3w,m-QJ5htl3uuB0BnfBNSTYQ,4VsXtggSzTz7OZTUuJAqVg,4-ipaAiQPjUy6eSSZVcruw,dmKHEz51uk8360u3X4CcWQ,jHv46Q9mrcKMLECHpjem1g,SnNT8YA6_RFQZGQkV_psEg,SIJm66InxhHRTcLPB6OwKA,GPCI92owU34KMiRsRIGsYg,6_94EKksekvepqgTQvzwfA,Feysyzl0uFwbzYB8cRtH8A,fFEFB45_CsR4cw9DI1yW8Q,KY4bn--If0q45L0dpfYZYQ,MB242ilqodf30d0xim1S1A,vRR8UF2omrnJCytRm2163w,XcIqzonSqV9UcGEWFydu_A,zTp39UK8kbJggw0-34zdng,LrkQe6vxHVLM7DnZWM5GvA,UObah0uXIUdXioB5ZpuqCw,bLNbyxYP9WFZ2K-kt7tmTQ,Ej1kJCB3WDzsgLjoqQRfNQ,rWAzMylvCypS3ieJe-aYxA,g5mAOknxJf9JM8_dHjlxjg,JjYtyoEYnNw7mpXevHE_Ww,PtUladplscTP38C5benw-g,MI0b4GygzprUf79urQJE9g,8pay7bZMocFp_mEIZNfjbQ,8GBRILrJ3CO0pXWtaf-PNw,4R6NJhiq_t91E3W72ou7YA,yJEHOZjWYdPNLTBFWhupEQ,AJfzsqkfo-Pdx--i0LrYuA,WZMee0YTJXBwgXjhSV9NWw,9u1SFdv5B0jnF_o2W8shDQ,c7AQEIbCKv3n7xQxOwhYWQ,oN7zVYLZQWGWdCMSObFaWA]","2019-11-30"
"yearly","[Ka00H3EHLLiPNpMj1V4Hcw,vRR8UF2omrnJCytRm2163w,6_94EKksekvepqgTQvzwfA,Ej1kJCB3WDzsgLjoqQRfNQ,0BVHJrRS6Cz4Z66bASb4kw,9u1SFdv5B0jnF_o2W8shDQ,XcIqzonSqV9UcGEWFydu_A,WZMee0YTJXBwgXjhSV9NWw,GPCI92owU34KMiRsRIGsYg,V9THpMJoHCgwuJY1Elj_zw,SIJm66InxhHRTcLPB6OwKA,zTp39UK8kbJggw0-34zdng,MB242ilqodf30d0xim1S1A,7qgKHElL4ISmeXGtnUk-6Q,KY4bn--If0q45L0dpfYZYQ,SnNT8YA6_RFQZGQkV_psEg,g5mAOknxJf9JM8_dHjlxjg,bLNbyxYP9WFZ2K-kt7tmTQ,jHv46Q9mrcKMLECHpjem1g,MI0b4GygzprUf79urQJE9g,Feysyzl0uFwbzYB8cRtH8A,m-QJ5htl3uuB0BnfBNSTYQ,AJfzsqkfo-Pdx--i0LrYuA,yJEHOZjWYdPNLTBFWhupEQ,4-ipaAiQPjUy6eSSZVcruw,rWAzMylvCypS3ieJe-aYxA,mv9CWDyMw5jgFmtrJePN3w,dmKHEz51uk8360u3X4CcWQ,oN7zVYLZQWGWdCMSObFaWA,fFEFB45_CsR4cw9DI1yW8Q,JjYtyoEYnNw7mpXevHE_Ww,4R6NJhiq_t91E3W72ou7YA,UObah0uXIUdXioB5ZpuqCw,4VsXtggSzTz7OZTUuJAqVg,c7AQEIbCKv3n7xQxOwhYWQ,PtUladplscTP38C5benw-g,8GBRILrJ3CO0pXWtaf-PNw,8pay7bZMocFp_mEIZNfjbQ,LrkQe6vxHVLM7DnZWM5GvA]","2019-11-30"
